icao,name,callsign,country
AAA,Ansett Australia,ANSETT,Australia
AAB,Abelag Aviation,ABG,Belgium
AAC,Army Air Corps,ARMYAIR,United Kingdom
AAD,Aero Aviation Centre Ltd.,SUNRISE,Canada
AAF,Aigle Azur,AIGLE AZUR,France
AAG,Air Atlantique,ATLANTIC,United Kingdom
AAH,Aloha Airlines,ALOHA,United States
AAI,Air Aurora,BOREALIS,United States
AAJ,Air Alma,AIR ALMA,Canada
AAK,Alaska Island Air,ALASKA ISLAND,United States
AAL,American Airlines,AMERICAN,United States
AAM,Aviation Management Corporation,AM CORP,United States
AAN,Amsterdam Airlines,AMSTEL,Netherlands
AAO,Atlantis Airlines (USA),ATLANTIS AIR,United States
AAP,Aerovista Airlines,AEROVISTA GROUP,United Arab Emirates
AAQ,Copterline,COPTERLINE,Finland
AAR,Asiana Airlines,ASIANA,Republic of Korea
AAS,Askari Aviation,AL-AAS,Pakistan
AAT,Austrian Airtransport,,Austria
AAU,Australia Asia Airlines,AUSTASIA,Australia
AAV,Astro Air International,ASTRO-PHIL,United States
AAW,Afriqiyah Airways,AFRIQIYAH,Libya
AAX,Afric'air Express,AFREX,Ivory Coast
AAY,Allegiant Air,ALLEGIANT,United States
AAZ,Angus Aviation,ANGUS,Canada
ABA,Artem-Avia,ARTEM-AVIA,Ukraine
ABB,African Business and Transportations,AFRICAN BUSINESS-,Democratic Republic of the Congo
ABD,Air Atlanta Icelandic,ATLANTA,Iceland
ABE,Aban Air,ABAN,Iran
ABF,Aerial Oy,SKYWINGS,Finland
ABG,Abakan-Avia,ABAKAN-AVIA,Russia
ABH,Hokuriki-Koukuu Company,,Japan
ABI,Aviabus,,Russia
ABJ,Abaet,Abaet,Brazil
ABK,Alberta Citylink,ALBERTA CITYLINK,Canada
ABL,Air Busan,Air Busan,Republic of Korea
ABM,Aero Albatros,ALBATROS ESPANA,Spain
ABN,Air Fret Senegal, ,Senegal
ABO,APSA Colombia,AEROEXPRESO,Colombia
ABP,Aba Air,BAIR,Czech Republic
ABQ,Airblue,PAKBLUE,Pakistan
ABR,Air Contractors,CONTRACT,Ireland
ABS,Transwest Air,ATHABASKA,Canada
ABT,Air Brousse,AIR BROUSSE,Canada
ABU,Aerovias Bueno,AEROBUENO,Colombia
ABV,Antrak Air,ANTRAK,Ghana
ABW,AirBridge Cargo,AIRBRIDGE CARGO,Russia
ABX,ABX Air,ABEX,United States
ABY,Air Arabia,ARABIA,United Arab Emirates
ABZ,ATA Brasil,ATA-BRAZIL,Brazil
ACA,Air Canada,AIR CANADA,Canada
ACC,Avcard Services,,United Kingdom
ACD,Academy Airlines,ACADEMY,United States
ACE,Race Cargo Airlines,Fastcargo,Ghana
ACF,Centro de Formacion Aeronautica de Canarias,FORCAN,Spain
ACG,Air Partner,AIR PARTNER,United Kingdom
ACI,Air Caledonie International,AIRCALIN,France
ACK,Nantucket Airlines,ACK AIR,United States
ACL,Itali Airlines,ITALI,Italy
ACM,Air Caledonia,WEST CAL,Canada
ACN,Central American Airlines,AEROCENTRO,Nicaragua
ACO,Aero Comondu,AERO COMONDU,Mexico
ACP,Astral Aviation,ASTRAL CARGO,Kenya
ACQ,Nuevo Continente,AERO CONTINENTE,Peru
ACR,Aerocenter, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER
ACS,Air Cess,,Liberia
ACU,Air Cargo Transportation System,AFRISPIRIT,Kenya
ACV,Air Charter Service,,United Kingdom
ACW,Royal Air Force,AIR CADET,United Kingdom
ACX,Air Charters,PARAIR,Canada
ACY,Atlas Cargo Lines,ATLAS CARGOLINES,Morocco
ADA,Airservices Australia,AUSCAL,Australia
ADB,Antonov Airlines,ANTONOV BUREAU,Ukraine
ADC,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic
ADD,Advanced Air Co.,,Japan
ADE,Ada Air,ADA AIR,Albania
ADG,Aerea Flying Training Organization,AEREA TRAINING,Spain
ADH,Air One,HERON,Italy
ADI,Audeli Air,AUDELI,Spain
ADJ,Abicar,ABICAR,Ivory Coast
ADK,ADC Airlines,ADCO,Nigeria
ADL,Aero Dynamics,COTSWOLD,United Kingdom
ADM,Aerolineas Dominicanas,DOMINAIR,Dominican Republic
ADN,Aerodienst GmbH,AERODIENST,Germany
ADO,Hokkaido International Airlines,AIR DO,Japan
ADP,Aerodiplomatic,AERODIPLOMATIC,Mexico
ADQ,Avion Taxi,AIR DATA,Canada
ADR,Adria Airways,ADRIA,Slovenia
ADS,Aviones de Sonora,SONORAV,Mexico
ADT,Air Dorval,AIR DORVAL,Canada
ADU,Airdeal Oy,AIRDEAL,Finland
ADV,Advance Air Charters,ADVANCE,Canada
ADW,Air Andaman,AIR ANDAMAN,Thailand
ADX,Anderson Aviation,ANDAX,United States
ADY,Aerodyne,AERODYNE,United States
AEA,Air Europa,EUROPA,Spain
AEB,Aero Benin,AEROBEN,Benin
AEC,Aerocesar, Aerovias Del Cesar,AEROCESAR
AED,Aerotrans Airlines,,Russia
AEE,Aegean Airlines,AEGEAN,Greece
AEF,Aero Lloyd (YP),,Germany
AEG,Aerofumigaciones Sam,FUMIGACIONES SAM,Chile
AEH,Aviaexpress,Avex,Hungary
AEI,Aeroexpreso Interamericano,INTERAM,Colombia
AEJ,Air Express,KHAKI EXPRESS,Tanzania
AEK,Aerocon,AEROCON,Bolivia
AEL,Air Europe,AIR EUROPE,Italy
AEM,Aero Madrid,AEROMADRID,Spain
AEN,Aeroenlaces Nacionales,,Mexico
AEO,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico
AEP,Aerotec,AEROTEC,Spain
AEQ,Air Express,LUNA,Sweden
AER,Alaska Central Express,ACE AIR,United States
AES,ACES Colombia,ACES,Colombia
AET,Aeronautical Radio of Thailand,AEROTHAI,Thailand
AEU,Astraeus,FLYSTAR,United Kingdom
AEV,Aeroventas,AEROVENTAS,Mexico
AEW,Aerosvit Airlines,AEROSVIT,Ukraine
AEX,Airway Express,AVCO,United States
AEY,Air Italy,AIR ITALY,Italy
AEZ,Aerial Transit Company,AERIAL TRANZ,United States
AFA,Alfa Air,BLUE ALFA,Czech Republic
AFB,American Falcon,AMERICAN FALCON,Argentina
AFC,African West Air,AFRICAN WEST,Senegal
AFD,Panorama Flight Service,AIRFED,United States
AFE,Airfast Indonesia,AIRFAST,Indonesia
AFG,Ariana Afghan Airlines,ARIANA,Afghanistan
AFH,Air Fecteau,FECTO,Canada
AFI,Africaone,AFRICAWORLD,Uganda
AFJ,Alliance,JAMBO,Uganda
AFK,Africa Air Links,AFRICA LINKS,Sierra Leone
AFL,Aeroflot Russian Airlines,AEROFLOT,Russia
AFO,Aero Empresa Mexicana,AERO EMPRESA,Mexico
AFP,Portuguese Air Force,PORTUGUESE AIR FORCE,Portugal
AFQ,Alba Servizi Aerotrasporti,ALBA,Italy
AFR,Air France,AIRFRANS,France
AFS,Air Data,,United Kingdom
AFU,Afrinat International Airlines,,Gambia
AFV,Air Afrique Vacancies,AFRIQUE VACANCE,Ivory Coast
AFW,Afrique Regional Airways,AFRAIR,Ivory Coast
AFX,Airfreight Express, ,United Kingdom
AFY,Africa Chartered Services,AFRICA CHARTERED,Nigeria
AFZ,Africa Freight Services,AFREIGHT,Zambia
AGA,Aeronaves Del Centro,,Venezuela
AGB,Air Service Gabon,,Gabon
AGC,Arab Agricultural Aviation Company,AGRICO,Egypt
AGE,Servicios Aereos de Los Angeles,AEROANGEL,Mexico
AGF,Atlantic Gulf Airlines,ATLANTIC GULF,United States
AGG,Algoma Airways,ALGOMA,Canada
AGH,Altagna,ALTAGNA,France
AGM,Air Guam,AIR GUAM,United States
AGN,Air Gabon,GOLF NOVEMBER,Gabon
